suburb,suburb_population,suburb_median_income
Rydalmere,6642,33540
Telopea,5426,29536
Gledswood Hills,22,14248
Bella Vista,7837,43784
Turrella,2511,32292
Davidson,2849,45292
Voyager Point,1668,51376
Liverpool,27084,24232
Baulkham Hills,37050,41288
Bungarribee,2638,50440
Sutherland,10816,47268
Denham Court,1981,30056
Warrawee,2995,51636
Bayview,3620,40300
Balmain East,1932,68380
Castle Hill,39594,40924
Sylvania Waters,3169,39572
Bonnet Bay,2262,49868
Yowie Bay,3074,45292
Oatley,10486,45084
Chittaway Point,941,34320
Kensington,15004,26728
Macquarie Links,1360,47372
Dee Why,21518,44980
North Manly,3090,45552
Darlington,3097,25272
Edmondson Park,2271,42640
Bonnyrigg Heights,7303,26416
Bilgola Plateau,3518,46956
Curl Curl,2414,53612
Chifley,3233,36452
Killarney Heights,4469,43836
Shelly Beach,1318,33696
Carnes Hill,2043,44096
Caddens,1475,33540
Elizabeth Hills,2535,39468
St Huberts Island,1058,34632
Connells Point,2829,44200
Wheeler Heights,2986,42848
Denistone East,2250,39052
Peakhurst Heights,2336,36816
East Ryde,2454,46800
Blacktown,47176,31980
Leonay,2518,46852
Denistone,3751,40040
Hurstville Grove,2663,37180
Davistown,2488,31668
Abbotsbury,4253,37492
Constitution Hill,3966,31096
Banksia,3388,33904
Windsor,1891,31824
